payment_id,policy_number,transaction_date,paid_amount
p-00046,Policy-00041,3/5/2019,11619.17
p-00047,Policy-00041,4/5/2019,11619.17
p-00048,Policy-00041,5/5/2019,11619.17
p-00049,Policy-00041,6/5/2019,11619.17
p-00050,Policy-00041,7/5/2019,11619.17
p-00051,Policy-00041,8/5/2019,11619.17
p-00052,Policy-00041,9/5/2019,11619.17
p-00053,Policy-00041,10/5/2019,11619.17
p-00054,Policy-00041,11/5/2019,11619.17
p-00055,Policy-00041,12/5/2019,11619.17
p-00056,Policy-00041,1/5/2020,11619.17
p-00057,Policy-00041,2/5/2020,11619.17
p-00058,Policy-00041,3/5/2020,11619.17
p-00059,Policy-00041,4/5/2020,11619.17
p-00060,Policy-00041,5/5/2020,11619.17
p-00061,Policy-00041,6/5/2020,11619.17
p-00062,Policy-00041,7/5/2020,11619.17
p-00063,Policy-00041,?,11619.17
p-00064,Policy-00041,9/5/2020,11619.17
p-00065,Policy-00041,10/5/2020,11619.17
p-00066,Policy-00041,11/5/2020,11619.17
p-00067,Policy-00041,12/5/2020,11619.17
p-00068,Policy-00041,1/5/2021,11619.17
p-00069,Policy-00041,2/5/2021,11619.17
p-00070,Policy-00041,3/5/2021,11619.17
p-00071,Policy-00041,4/5/2021,11619.17
p-00072,Policy-00041,5/5/2021,11619.17
p-00073,Policy-00048,4/20/2018,11619.17
p-00074,Policy-00048,5/20/2018,11619.17
p-00075,Policy-00048,6/20/2018,11619.17
p-00076,Policy-00048,7/20/2018,11619.17
p-00077,Policy-00048,8/20/2018,11619.17
p-00078,Policy-00048,9/20/2018,11619.17
p-00079,Policy-00048,10/20/2018,11619.17
p-00080,Policy-00048,11/20/2018,11619.17
p-00081,Policy-00048,12/20/2018,11619.17
p-00082,Policy-00048,1/20/2019,11619.17
p-00083,Policy-00048,2/20/2019,?
p-00084,Policy-00048,3/20/2019,11619.17
p-00085,Policy-00048,4/20/2019,11619.17
p-00086,Policy-00048,5/20/2019,11619.17
p-00087,Policy-00048,6/20/2019,11619.17
p-00088,Policy-00048,7/20/2019,11619.17
p-00089,Policy-00048,8/20/2019,11619.17
p-00090,Policy-00048,9/20/2019,11619.17
p-00091,Policy-00048,10/20/2019,11619.17
p-00092,Policy-00048,11/20/2019,11619.17
p-00093,Policy-00048,12/20/2019,11619.17
p-00094,Policy-00048,1/20/2020,11619.17
p-00095,Policy-00048,2/20/2020,11619.17
p-00096,Policy-00048,3/20/2020,11619.17
p-00097,Policy-00048,4/20/2020,11619.17
p-00098,Policy-00048,5/20/2020,11619.17
p-00099,Policy-00048,6/20/2020,11619.17
p-000100,Policy-00048,7/20/2020,11619.17
p-000101,Policy-00048,8/20/2020,11619.17
p-000102,Policy-00048,9/20/2020,11619.17
p-000103,Policy-00048,10/20/2020,11619.17
p-000104,Policy-00048,11/20/2020,11619.17
p-000105,Policy-00048,12/20/2020,11619.17
p-000106,Policy-00048,1/20/2021,11619.17
p-000107,Policy-00048,2/20/2021,11619.17
p-000108,Policy-00048,3/20/2021,11619.17
p-000109,Policy-00077,5/2/2018,11619.17
p-000110,Policy-00077,6/2/2018,11619.17
p-000111,Policy-00077,7/2/2018,11619.17
p-000112,Policy-00077,8/2/2018,11619.17
p-000113,Policy-00077,9/2/2018,11619.17
p-000114,Policy-00077,10/2/2018,11619.17
p-000115,Policy-00077,11/2/2018,11619.17
p-000116,Policy-00077,12/2/2018,11619.17
p-000117,Policy-00077,1/2/2019,11619.17
p-000118,Policy-00077,2/2/2019,11619.17
p-000119,Policy-00077,3/2/2019,11619.17
p-000120,Policy-00077,4/2/2019,11619.17
p-000121,Policy-000117,7/5/2018,11619.17
p-000122,Policy-000117,8/5/2018,11619.17
p-000123,Policy-000117,9/5/2018,11619.17
p-000124,Policy-000117,10/5/2018,11619.17
p-000125,Policy-000117,11/5/2018,11619.17
p-000126,Policy-000117,12/5/2018,11619.17
p-000127,Policy-000117,1/5/2019,11619.17
p-000128,Policy-000117,2/5/2019,11619.17
p-000129,Policy-000117,3/5/2019,11619.17
p-000130,Policy-000117,4/5/2019,11619.17
p-000131,Policy-000117,5/5/2019,11619.17
p-000132,Policy-000117,6/5/2019,11619.17
p-000133,Policy-000117,7/5/2019,11619.17
p-000134,Policy-000117,8/5/2019,11619.17
p-000135,Policy-000117,9/5/2019,11619.17
p-000136,Policy-000117,10/5/2019,11619.17
p-000137,Policy-000117,11/5/2019,11619.17
p-000138,Policy-000117,12/5/2019,11619.17
p-000139,Policy-000117,1/5/2020,11619.17
p-000140,Policy-000117,2/5/2020,11619.17
p-000141,Policy-000117,3/5/2020,11619.17
p-000142,Policy-000117,4/5/2020,11619.17
p-000143,Policy-000117,5/5/2020,11619.17
p-000144,Policy-000117,6/5/2020,11619.17
p-000145,Policy-000117,7/5/2020,11619.17
p-000146,Policy-000117,8/5/2020,11619.17
p-000147,Policy-000117,9/5/2020,11619.17
p-000148,Policy-000117,10/5/2020,11619.17
p-000149,Policy-000117,11/5/2020,11619.17
p-000150,Policy-000117,12/5/2020,11619.17
p-000151,Policy-000117,1/5/2021,11619.17
p-000152,Policy-000117,2/5/2021,11619.17
p-000153,Policy-000117,3/5/2021,11619.17
p-000154,Policy-000117,4/5/2021,11619.17
p-000155,Policy-000117,5/5/2021,11619.17
p-000156,Policy-000117,6/5/2021,11619.17
p-000157,Policy-000143,4/13/2018,11619.17
p-000158,Policy-000143,5/13/2018,11619.17
p-000159,Policy-000143,6/13/2018,11619.17
p-000160,Policy-000143,7/13/2018,11619.17
p-000161,Policy-000143,8/13/2018,11619.17
p-000162,Policy-000143,9/13/2018,11619.17
p-000163,Policy-000143,10/13/2018,11619.17
p-000164,Policy-000143,11/13/2018,11619.17
p-000165,Policy-000143,12/13/2018,11619.17
p-000166,Policy-000143,1/13/2019,11619.17
p-000167,Policy-000143,2/13/2019,11619.17
p-000168,Policy-000143,3/13/2019,11619.17
p-000169,Policy-000153,9/10/2018,11619.17
p-000170,Policy-000153,10/10/2018,11619.17
p-000171,Policy-000153,11/10/2018,11619.17
p-000172,Policy-000153,12/10/2018,11619.17
p-000173,Policy-000153,1/10/2019,11619.17
p-000174,Policy-000153,2/10/2019,11619.17
p-000175,Policy-000153,3/10/2019,11619.17
p-000176,Policy-000153,4/10/2019,11619.17
p-000177,Policy-000153,5/10/2019,11619.17
p-000178,Policy-000153,6/10/2019,11619.17
p-000179,Policy-000153,7/10/2019,11619.17
p-000180,Policy-000153,8/10/2019,11619.17
p-000181,Policy-000153,9/10/2019,11619.17
p-000182,Policy-000153,10/10/2019,11619.17
p-000183,Policy-000153,11/10/2019,11619.17
p-000184,Policy-000153,12/10/2019,11619.17
p-000185,Policy-000153,1/10/2020,11619.17
p-000186,Policy-000153,2/10/2020,11619.17
p-000187,Policy-000153,3/10/2020,11619.17
p-000188,Policy-000153,4/10/2020,11619.17
p-000189,Policy-000153,5/10/2020,11619.17
p-000190,Policy-000153,6/10/2020,11619.17
p-000191,Policy-000153,7/10/2020,11619.17
p-000192,Policy-000153,8/10/2020,11619.17
p-000193,Policy-000153,9/10/2020,11619.17
p-000194,Policy-000153,10/10/2020,11619.17
p-000195,Policy-000153,11/10/2020,11619.17
p-000196,Policy-000153,12/10/2020,11619.17
p-000197,Policy-000153,1/10/2021,11619.17
p-000198,Policy-000153,2/10/2021,11619.17
p-000199,Policy-000153,3/10/2021,11619.17
p-000200,Policy-000153,4/10/2021,11619.17
p-000201,Policy-000153,5/10/2021,11619.17
p-000202,Policy-000153,6/10/2021,11619.17
p-000203,Policy-000153,7/10/2021,11619.17
p-000204,Policy-000153,8/10/2021,11619.17
p-000205,Policy-000154,8/3/2018,11619.17
p-000206,Policy-000154,9/3/2018,11619.17
p-000207,Policy-000154,10/3/2018,11619.17
p-000208,Policy-000154,11/3/2018,11619.17
p-000209,Policy-000154,12/3/2018,11619.17
p-000210,Policy-000154,1/3/2019,11619.17
p-000211,Policy-000154,2/3/2019,11619.17
p-000212,Policy-000154,3/3/2019,11619.17
p-000213,Policy-000154,4/3/2019,11619.17
p-000214,Policy-000154,5/3/2019,11619.17
p-000215,Policy-000154,6/3/2019,11619.17
p-000216,Policy-000154,7/3/2019,11619.17
p-000217,Policy-000169,6/17/2018,11619.17
p-000218,Policy-000169,7/17/2018,11619.17
p-000219,Policy-000169,8/17/2018,11619.17
p-000220,Policy-000169,9/17/2018,11619.17
p-000221,Policy-000169,10/17/2018,11619.17
p-000222,Policy-000169,11/17/2018,11619.17
p-000223,Policy-000169,12/17/2018,11619.17
p-000224,Policy-000169,1/17/2019,11619.17
p-000225,Policy-000169,2/17/2019,11619.17
p-000226,Policy-000169,3/17/2019,11619.17
p-000227,Policy-000169,4/17/2019,11619.17
p-000228,Policy-000169,5/17/2019,11619.17
p-000229,Policy-000169,6/17/2019,11619.17
p-000230,Policy-000169,7/17/2019,11619.17
p-000231,Policy-000169,8/17/2019,11619.17
p-000232,Policy-000169,9/17/2019,11619.17
p-000233,Policy-000169,10/17/2019,11619.17
p-000234,Policy-000169,11/17/2019,11619.17
p-000235,Policy-000169,12/17/2019,11619.17
p-000236,Policy-000169,1/17/2020,11619.17
p-000237,Policy-000169,2/17/2020,11619.17
p-000238,Policy-000169,3/17/2020,11619.17
p-000239,Policy-000169,4/17/2020,11619.17
p-000240,Policy-000169,5/17/2020,11619.17
p-000241,Policy-000169,6/17/2020,11619.17
p-000242,Policy-000169,7/17/2020,11619.17
p-000243,Policy-000169,8/17/2020,11619.17
p-000244,Policy-000169,9/17/2020,11619.17
p-000245,Policy-000169,10/17/2020,11619.17
p-000246,Policy-000169,11/17/2020,11619.17
p-000247,Policy-000169,12/17/2020,11619.17
p-000248,Policy-000169,1/17/2021,11619.17
p-000249,Policy-000169,2/17/2021,11619.17
p-000250,Policy-000169,3/17/2021,11619.17
p-000251,Policy-000169,4/17/2021,11619.17
p-000252,Policy-000169,5/17/2021,11619.17
p-000253,Policy-000194,9/7/2018,11619.17
p-000254,Policy-000194,10/7/2018,11619.17
p-000255,Policy-000194,11/7/2018,11619.17
p-000256,Policy-000194,12/7/2018,11619.17
p-000257,Policy-000194,1/7/2019,11619.17
p-000258,Policy-000194,2/7/2019,11619.17
p-000259,Policy-000194,3/7/2019,11619.17
p-000260,Policy-000194,4/7/2019,11619.17
p-000261,Policy-000194,5/7/2019,11619.17
p-000262,Policy-000194,6/7/2019,11619.17
p-000263,Policy-000194,7/7/2019,11619.17
p-000264,Policy-000194,8/7/2019,11619.17
p-000265,Policy-000214,4/2/2018,11619.17
p-000266,Policy-000214,5/2/2018,11619.17
p-000267,Policy-000214,6/2/2018,11619.17
p-000268,Policy-000214,7/2/2018,11619.17
p-000269,Policy-000214,8/2/2018,11619.17
p-000270,Policy-000214,9/2/2018,11619.17
p-000271,Policy-000214,10/2/2018,11619.17
p-000272,Policy-000214,11/2/2018,11619.17
p-000273,Policy-000214,12/2/2018,11619.17
p-000274,Policy-000214,1/2/2019,11619.17
p-000275,Policy-000214,2/2/2019,11619.17
p-000276,Policy-000214,3/2/2019,11619.17
p-000277,Policy-000214,4/2/2019,11619.17
p-000278,Policy-000214,5/2/2019,11619.17
p-000279,Policy-000214,6/2/2019,11619.17
p-000280,Policy-000214,7/2/2019,11619.17
p-000281,Policy-000214,8/2/2019,11619.17
p-000282,Policy-000214,9/2/2019,11619.17
p-000283,Policy-000214,10/2/2019,11619.17
p-000284,Policy-000214,11/2/2019,11619.17
p-000285,Policy-000214,12/2/2019,11619.17
p-000286,Policy-000214,1/2/2020,11619.17
p-000287,Policy-000214,2/2/2020,11619.17
p-000288,Policy-000214,3/2/2020,11619.17
p-000289,Policy-000214,4/2/2020,11619.17
p-000290,Policy-000214,5/2/2020,11619.17
p-000291,Policy-000214,6/2/2020,11619.17
p-000292,Policy-000214,7/2/2020,11619.17
p-000293,Policy-000214,8/2/2020,11619.17
p-000294,Policy-000214,9/2/2020,11619.17
p-000295,Policy-000214,10/2/2020,11619.17
p-000296,Policy-000214,11/2/2020,11619.17
p-000297,Policy-000214,12/2/2020,11619.17
p-000298,Policy-000214,1/2/2021,11619.17
p-000299,Policy-000214,2/2/2021,11619.17
p-000300,Policy-000214,3/2/2021,11619.17
p-000301,Policy-000230,2/15/2018,11619.17
p-000302,Policy-000230,3/15/2018,11619.17
p-000303,Policy-000230,4/15/2018,11619.17
p-000304,Policy-000230,5/15/2018,11619.17
p-000305,Policy-000230,6/15/2018,11619.17
p-000306,Policy-000230,7/15/2018,11619.17
p-000307,Policy-000230,8/15/2018,11619.17
p-000308,Policy-000230,9/15/2018,11619.17
p-000309,Policy-000230,10/15/2018,11619.17
p-000310,Policy-000230,11/15/2018,11619.17
p-000311,Policy-000230,12/15/2018,11619.17
p-000312,Policy-000230,1/15/2019,11619.17
p-000313,Policy-000262,8/25/2018,11619.17
p-000314,Policy-000262,9/25/2018,11619.17
p-000315,Policy-000262,10/25/2018,11619.17
p-000316,Policy-000262,11/25/2018,11619.17
p-000317,Policy-000262,12/25/2018,11619.17
p-000318,Policy-000262,1/25/2019,11619.17
p-000319,Policy-000262,2/25/2019,11619.17
p-000320,Policy-000262,3/25/2019,11619.17
p-000321,Policy-000262,4/25/2019,11619.17
p-000322,Policy-000262,5/25/2019,11619.17
p-000323,Policy-000262,6/25/2019,11619.17
p-000324,Policy-000262,7/25/2019,11619.17
p-000325,Policy-000263,6/25/2018,11619.17
p-000326,Policy-000263,7/25/2018,11619.17
p-000327,Policy-000263,8/25/2018,11619.17
p-000328,Policy-000263,9/25/2018,11619.17
p-000329,Policy-000263,10/25/2018,11619.17
p-000330,Policy-000263,11/25/2018,11619.17
p-000331,Policy-000263,12/25/2018,11619.17
p-000332,Policy-000263,1/25/2019,11619.17
p-000333,Policy-000263,2/25/2019,11619.17
p-000334,Policy-000263,3/25/2019,11619.17
p-000335,Policy-000263,4/25/2019,11619.17
p-000336,Policy-000263,5/25/2019,11619.17
p-000337,Policy-000263,6/25/2019,11619.17
p-000338,Policy-000263,7/25/2019,11619.17
p-000339,Policy-000263,8/25/2019,11619.17
p-000340,Policy-000263,9/25/2019,11619.17
p-000341,Policy-000263,10/25/2019,11619.17
p-000342,Policy-000263,11/25/2019,11619.17
p-000343,Policy-000263,12/25/2019,11619.17
p-000344,Policy-000263,1/25/2020,11619.17
p-000345,Policy-000263,2/25/2020,11619.17
p-000346,Policy-000263,3/25/2020,11619.17
p-000347,Policy-000263,4/25/2020,11619.17
p-000348,Policy-000263,5/25/2020,11619.17
p-000349,Policy-000263,6/25/2020,11619.17
p-000350,Policy-000263,7/25/2020,11619.17
p-000351,Policy-000263,8/25/2020,11619.17
p-000352,Policy-000263,9/25/2020,11619.17
p-000353,Policy-000263,10/25/2020,11619.17
p-000354,Policy-000263,11/25/2020,11619.17
p-000355,Policy-000263,12/25/2020,11619.17
p-000356,Policy-000263,1/25/2021,11619.17
p-000357,Policy-000263,2/25/2021,11619.17
p-000358,Policy-000263,3/25/2021,11619.17
p-000359,Policy-000263,4/25/2021,11619.17
p-000360,Policy-000263,5/25/2021,11619.17
p-000361,Policy-000279,6/4/2018,11619.17
p-000362,Policy-000279,7/4/2018,11619.17
p-000363,Policy-000279,8/4/2018,11619.17
p-000364,Policy-000279,9/4/2018,11619.17
p-000365,Policy-000279,10/4/2018,11619.17
p-000366,Policy-000279,11/4/2018,11619.17
p-000367,Policy-000279,12/4/2018,11619.17
p-000368,Policy-000279,1/4/2019,11619.17
p-000369,Policy-000279,2/4/2019,11619.17
p-000370,Policy-000279,3/4/2019,11619.17
p-000371,Policy-000279,4/4/2019,11619.17
p-000372,Policy-000279,5/4/2019,11619.17
p-000373,Policy-000337,6/6/2018,11619.17
p-000374,Policy-000337,7/6/2018,11619.17
p-000375,Policy-000337,8/6/2018,11619.17
p-000376,Policy-000337,9/6/2018,11619.17
p-000377,Policy-000337,10/6/2018,11619.17
p-000378,Policy-000337,11/6/2018,11619.17
p-000379,Policy-000337,12/6/2018,11619.17
p-000380,Policy-000337,1/6/2019,11619.17
p-000381,Policy-000337,2/6/2019,11619.17
p-000382,Policy-000337,3/6/2019,11619.17
p-000383,Policy-000337,4/6/2019,11619.17
p-000384,Policy-000337,5/6/2019,11619.17
p-000385,Policy-000337,6/6/2019,11619.17
p-000386,Policy-000337,7/6/2019,11619.17
p-000387,Policy-000337,8/6/2019,11619.17
p-000388,Policy-000337,9/6/2019,11619.17
p-000389,Policy-000337,10/6/2019,11619.17
p-000390,Policy-000337,11/6/2019,11619.17
p-000391,Policy-000337,12/6/2019,11619.17
p-000392,Policy-000337,1/6/2020,11619.17
p-000393,Policy-000337,2/6/2020,11619.17
p-000394,Policy-000337,3/6/2020,11619.17
p-000395,Policy-000337,4/6/2020,11619.17
p-000396,Policy-000337,5/6/2020,11619.17
p-000397,Policy-000337,6/6/2020,11619.17
p-000398,Policy-000337,7/6/2020,11619.17
p-000399,Policy-000337,8/6/2020,11619.17
p-000400,Policy-000337,9/6/2020,11619.17
p-000401,Policy-000337,10/6/2020,11619.17
p-000402,Policy-000337,11/6/2020,11619.17
p-000403,Policy-000337,12/6/2020,11619.17
p-000404,Policy-000337,1/6/2021,11619.17
p-000405,Policy-000337,2/6/2021,11619.17
p-000406,Policy-000337,3/6/2021,11619.17
p-000407,Policy-000337,4/6/2021,11619.17
p-000408,Policy-000337,5/6/2021,11619.17
p-000409,Policy-000351,7/9/2018,11619.17
p-000410,Policy-000351,8/9/2018,11619.17
p-000411,Policy-000351,9/9/2018,11619.17
p-000412,Policy-000351,10/9/2018,11619.17
p-000413,Policy-000351,11/9/2018,11619.17
p-000414,Policy-000351,12/9/2018,11619.17
p-000415,Policy-000351,1/9/2019,11619.17
p-000416,Policy-000351,2/9/2019,11619.17
p-000417,Policy-000351,3/9/2019,11619.17
p-000418,Policy-000351,4/9/2019,11619.17
p-000419,Policy-000351,5/9/2019,11619.17
p-000420,Policy-000351,6/9/2019,11619.17
p-000421,Policy-000354,4/24/2018,11619.17
p-000422,Policy-000354,5/24/2018,11619.17
p-000423,Policy-000354,6/24/2018,11619.17
p-000424,Policy-000354,7/24/2018,11619.17
p-000425,Policy-000354,8/24/2018,11619.17
p-000426,Policy-000354,9/24/2018,11619.17
p-000427,Policy-000354,10/24/2018,11619.17
p-000428,Policy-000354,11/24/2018,11619.17
p-000429,Policy-000354,12/24/2018,11619.17
p-000430,Policy-000354,1/24/2019,11619.17
p-000431,Policy-000354,2/24/2019,11619.17
p-000432,Policy-000354,3/24/2019,11619.17
p-000433,Policy-000357,7/12/2018,11619.17
p-000434,Policy-000357,8/12/2018,11619.17
p-000435,Policy-000357,9/12/2018,11619.17
p-000436,Policy-000357,10/12/2018,11619.17
p-000437,Policy-000357,11/12/2018,11619.17
p-000438,Policy-000357,12/12/2018,11619.17
p-000439,Policy-000357,1/12/2019,11619.17
p-000440,Policy-000357,2/12/2019,11619.17
p-000441,Policy-000357,3/12/2019,11619.17
p-000442,Policy-000357,4/12/2019,11619.17
p-000443,Policy-000357,5/12/2019,11619.17
p-000444,Policy-000357,6/12/2019,11619.17
p-000445,Policy-000374,5/23/2018,11619.17
p-000446,Policy-000374,6/23/2018,11619.17
p-000447,Policy-000374,7/23/2018,11619.17
p-000448,Policy-000374,8/23/2018,11619.17
p-000449,Policy-000374,9/23/2018,11619.17
p-000450,Policy-000374,10/23/2018,11619.17
p-000451,Policy-000374,11/23/2018,11619.17
p-000452,Policy-000374,12/23/2018,11619.17
p-000453,Policy-000374,1/23/2019,11619.17
p-000454,Policy-000374,2/23/2019,11619.17
p-000455,Policy-000374,3/23/2019,11619.17
p-000456,Policy-000374,4/23/2019,11619.17
p-000457,Policy-000374,5/23/2019,11619.17
p-000458,Policy-000374,6/23/2019,11619.17
p-000459,Policy-000374,7/23/2019,11619.17
p-000460,Policy-000374,8/23/2019,11619.17
p-000461,Policy-000374,9/23/2019,11619.17
p-000462,Policy-000374,10/23/2019,11619.17
p-000463,Policy-000374,11/23/2019,11619.17
p-000464,Policy-000374,12/23/2019,11619.17
p-000465,Policy-000374,1/23/2020,11619.17
p-000466,Policy-000374,2/23/2020,11619.17
p-000467,Policy-000374,3/23/2020,11619.17
p-000468,Policy-000374,4/23/2020,11619.17
p-000469,Policy-000374,5/23/2020,11619.17
p-000470,Policy-000374,6/23/2020,11619.17
p-000471,Policy-000374,7/23/2020,11619.17
p-000472,Policy-000374,8/23/2020,11619.17
p-000473,Policy-000374,9/23/2020,11619.17
p-000474,Policy-000374,10/23/2020,11619.17
p-000475,Policy-000374,11/23/2020,11619.17
p-000476,Policy-000374,12/23/2020,11619.17
p-000477,Policy-000374,1/23/2021,11619.17
p-000478,Policy-000374,2/23/2021,11619.17
p-000479,Policy-000374,3/23/2021,11619.17
p-000480,Policy-000374,4/23/2021,11619.17
p-000481,Policy-000391,8/9/2018,11619.17
p-000482,Policy-000391,9/9/2018,11619.17
p-000483,Policy-000391,10/9/2018,11619.17
p-000484,Policy-000391,11/9/2018,11619.17
p-000485,Policy-000391,12/9/2018,11619.17
p-000486,Policy-000391,1/9/2019,11619.17
p-000487,Policy-000391,2/9/2019,11619.17
p-000488,Policy-000391,3/9/2019,11619.17
p-000489,Policy-000391,4/9/2019,11619.17
p-000490,Policy-000391,5/9/2019,11619.17
p-000491,Policy-000391,6/9/2019,11619.17
p-000492,Policy-000391,7/9/2019,11619.17
p-000493,Policy-000432,9/28/2018,11619.17
p-000494,Policy-000432,10/28/2018,11619.17
p-000495,Policy-000432,11/28/2018,11619.17
p-000496,Policy-000432,12/28/2018,11619.17
p-000497,Policy-000432,1/28/2019,11619.17
p-000498,Policy-000432,2/28/2019,11619.17
p-000499,Policy-000432,3/28/2019,11619.17
p-000500,Policy-000432,4/28/2019,11619.17
p-000501,Policy-000432,5/28/2019,11619.17
p-000502,Policy-000432,6/28/2019,11619.17
p-000503,Policy-000432,7/28/2019,11619.17
p-000504,Policy-000432,8/28/2019,11619.17
p-000505,Policy-000433,5/11/2018,11619.17
p-000506,Policy-000433,6/11/2018,11619.17
p-000507,Policy-000433,7/11/2018,11619.17
p-000508,Policy-000433,8/11/2018,11619.17
p-000509,Policy-000433,9/11/2018,11619.17
p-000510,Policy-000433,10/11/2018,11619.17
p-000511,Policy-000433,11/11/2018,11619.17
p-000512,Policy-000433,12/11/2018,11619.17
p-000513,Policy-000433,1/11/2019,11619.17
p-000514,Policy-000433,2/11/2019,11619.17
p-000515,Policy-000433,3/11/2019,11619.17
p-000516,Policy-000433,4/11/2019,11619.17
p-000517,Policy-000442,4/22/2018,11619.17
p-000518,Policy-000442,5/22/2018,11619.17
p-000519,Policy-000442,6/22/2018,11619.17
p-000520,Policy-000442,7/22/2018,11619.17
p-000521,Policy-000442,8/22/2018,11619.17
p-000522,Policy-000442,9/22/2018,11619.17
p-000523,Policy-000442,10/22/2018,11619.17
p-000524,Policy-000442,11/22/2018,11619.17
p-000525,Policy-000442,12/22/2018,11619.17
p-000526,Policy-000442,1/22/2019,11619.17
p-000527,Policy-000442,2/22/2019,11619.17
p-000528,Policy-000442,3/22/2019,11619.17
p-000529,Policy-000443,3/14/2018,11619.17
p-000530,Policy-000443,4/14/2018,11619.17
p-000531,Policy-000443,5/14/2018,11619.17
p-000532,Policy-000443,6/14/2018,11619.17
p-000533,Policy-000443,7/14/2018,11619.17
p-000534,Policy-000443,8/14/2018,11619.17
p-000535,Policy-000443,9/14/2018,11619.17
p-000536,Policy-000443,10/14/2018,11619.17
p-000537,Policy-000443,11/14/2018,11619.17
p-000538,Policy-000443,12/14/2018,11619.17
p-000539,Policy-000443,1/14/2019,11619.17
p-000540,Policy-000443,2/14/2019,11619.17
p-000541,Policy-000472,6/28/2018,11619.17
p-000542,Policy-000472,7/28/2018,11619.17
p-000543,Policy-000472,8/28/2018,11619.17
p-000544,Policy-000472,9/28/2018,11619.17
p-000545,Policy-000472,10/28/2018,11619.17
p-000546,Policy-000472,11/28/2018,11619.17
p-000547,Policy-000472,12/28/2018,11619.17
p-000548,Policy-000472,1/28/2019,11619.17
p-000549,Policy-000472,2/28/2019,11619.17
p-000550,Policy-000472,3/28/2019,11619.17
p-000551,Policy-000472,4/28/2019,11619.17
p-000552,Policy-000472,5/28/2019,11619.17
p-000553,Policy-000472,6/28/2019,11619.17
p-000554,Policy-000472,7/28/2019,11619.17
p-000555,Policy-000472,8/28/2019,11619.17
p-000556,Policy-000472,9/28/2019,11619.17
p-000557,Policy-000472,10/28/2019,11619.17
p-000558,Policy-000472,11/28/2019,11619.17
p-000559,Policy-000472,12/28/2019,11619.17
p-000560,Policy-000472,1/28/2020,11619.17
p-000561,Policy-000472,2/28/2020,11619.17
p-000562,Policy-000472,3/28/2020,11619.17
p-000563,Policy-000472,4/28/2020,11619.17
p-000564,Policy-000472,5/28/2020,11619.17
p-000565,Policy-000472,6/28/2020,11619.17
p-000566,Policy-000472,7/28/2020,11619.17
p-000567,Policy-000472,8/28/2020,11619.17
p-000568,Policy-000472,9/28/2020,11619.17
p-000569,Policy-000472,10/28/2020,11619.17
p-000570,Policy-000472,11/28/2020,11619.17
p-000571,Policy-000472,12/28/2020,11619.17
p-000572,Policy-000472,1/28/2021,11619.17
p-000573,Policy-000472,2/28/2021,11619.17
p-000574,Policy-000472,3/28/2021,11619.17
p-000575,Policy-000472,4/28/2021,11619.17
p-000576,Policy-000472,5/28/2021,11619.17
p-000577,Policy-000489,3/18/2018,11619.17
p-000578,Policy-000489,4/18/2018,11619.17
p-000579,Policy-000489,5/18/2018,11619.17
p-000580,Policy-000489,6/18/2018,11619.17
p-000581,Policy-000489,7/18/2018,11619.17
