claim_number,reimbursement_number,amount_approved,reimbursement_date
Claim-0001375,Reimbursement-0001235,572742.96,12/6/2019
Claim-0002265,Reimbursement-0001175,502568.29,4/9/2019
Claim-0002697,Reimbursement-000949,635353.89,8/6/2019
Claim-000199,Reimbursement-0003459,660878.88,10/23/2020
Claim-000877,Reimbursement-00097,739581.38,3/10/2021
Claim-0001022,Reimbursement-000126,724348.64,2/18/2019
Claim-0003101,Reimbursement-0002196,869694.39,2/12/2020
Claim-000209,Reimbursement-000396,640736.1,8/25/2019
Claim-000468,Reimbursement-000568,809081.34,9/29/2018
Claim-000635,Reimbursement-0001025,571125.66,9/18/2018
Claim-000976,Reimbursement-0003576,542161.31,9/27/2018
Claim-0002099,Reimbursement-000926,547282.08,11/26/2018
Claim-0002334,Reimbursement-0003303,605530.82,6/18/2019
Claim-0002568,Reimbursement-0001486,505195.77,6/12/2019
Claim-0002700,Reimbursement-0001966,564084.6,12/4/2018
Claim-0003263,Reimbursement-0003581,743791.55,9/18/2018
Claim-000211,Reimbursement-0003126,688055.39,7/9/2021
Claim-0001423,Reimbursement-000451,549054.3,1/11/2019
Claim-0001777,Reimbursement-0003074,666336.47,12/1/2019
Claim-0001976,Reimbursement-0003495,726135.89,2/22/2019
Claim-000233,Reimbursement-0002203,651423,6/15/2020
Claim-000555,Reimbursement-000715,462720,11/9/2020
Claim-000234,Reimbursement-0002178,584137.73,2/10/2020
Claim-000413,Reimbursement-0002455,646506.6,1/28/2020
Claim-000990,Reimbursement-000337,744623.48,5/23/2020
Claim-000252,Reimbursement-0001052,678894.69,12/4/2019
Claim-0001950,Reimbursement-0001860,465336.01,9/10/2019
Claim-0002090,Reimbursement-000682,645470.49,7/31/2019
Claim-0002122,Reimbursement-00088,653963.53,2/12/2019
Claim-0002155,Reimbursement-0001694,598347.86,2/22/2020
Claim-000279,Reimbursement-000145,600829.39,12/9/2018
Claim-000688,Reimbursement-0002806,593360.32,7/20/2019
Claim-0002424,Reimbursement-0002499,654980.16,10/7/2018
Claim-0002878,Reimbursement-0001542,473998.8,12/2/2020
Claim-0003009,Reimbursement-0003477,470551.54,1/26/2020
Claim-000306,Reimbursement-0002424,511831.75,4/29/2019
Claim-0001735,Reimbursement-000768,450851.23,12/5/2019
Claim-0001887,Reimbursement-000946,584950.57,12/7/2019
Claim-0001930,Reimbursement-0002297,534085.31,3/16/2019
Claim-0002730,Reimbursement-0001808,587696.14,1/10/2020
Claim-000315,Reimbursement-0002574,501971.28,12/15/2018
Claim-0002010,Reimbursement-0003257,450072.32,4/25/2019
Claim-0002258,Reimbursement-0002892,566669.18,5/29/2019
Claim-0003302,Reimbursement-0001586,683547.34,11/5/2018
Claim-0003564,Reimbursement-0003203,599580.72,5/21/2018
Claim-000319,Reimbursement-0001783,520578.51,12/24/2020
Claim-0001199,Reimbursement-0002843,526927.03,2/26/2021
Claim-0002374,Reimbursement-0002864,506294.34,5/6/2020
Claim-0003169,Reimbursement-0001885,645432.7,10/13/2019
Claim-0003582,Reimbursement-0002021,568721.44,6/20/2019
Claim-000325,Reimbursement-0002369,397013.76,10/5/2019
Claim-000731,Reimbursement-000607,512892.15,1/26/2019
Claim-0003112,Reimbursement-0002948,518971.42,7/31/2019
Claim-0003495,Reimbursement-0001371,516738.22,12/14/2018
Claim-000328,Reimbursement-0003646,550417.49,4/8/2021
Claim-0003513,Reimbursement-0001893,697015.38,6/28/2020
Claim-000360,Reimbursement-0003200,842890.75,6/12/2019
Claim-0001873,Reimbursement-000379,672396.94,2/25/2019
Claim-0002239,Reimbursement-000730,610137.96,11/22/2018
Claim-000369,Reimbursement-0003,480635.55,11/2/2019
Claim-0001452,Reimbursement-0001505,567413,4/18/2019
Claim-0001671,Reimbursement-000187,731961.34,9/11/2019
Claim-0003413,Reimbursement-0001359,733819.84,7/19/2019
Claim-000415,Reimbursement-0003401,489360.24,9/14/2019
Claim-000836,Reimbursement-0001807,417725.49,6/14/2020
Claim-0001498,Reimbursement-000856,616724.59,3/29/2019
Claim-0002180,Reimbursement-0001085,499100.59,7/18/2021
Claim-0003519,Reimbursement-0003081,438932.34,12/26/2020
Claim-000454,Reimbursement-0002009,628758.4,10/15/2019
Claim-0001730,Reimbursement-0002765,594188.01,8/5/2020
Claim-0003321,Reimbursement-0003464,698653.99,5/30/2019
Claim-000470,Reimbursement-0001163,489256.99,7/5/2020
Claim-0001334,Reimbursement-0002823,524449.16,6/10/2020
Claim-0001967,Reimbursement-0003167,609854.55,10/24/2018
Claim-000483,Reimbursement-0001882,731213.67,7/5/2021
Claim-0002075,Reimbursement-0003481,465498.63,3/7/2020
Claim-0003583,Reimbursement-0001465,501022.03,3/30/2021
Claim-000500,Reimbursement-0002659,530585.6,8/23/2020
Claim-0002973,Reimbursement-000633,616540.47,2/7/2021
Claim-0003416,Reimbursement-0002135,506974.54,8/19/2019
Claim-000506,Reimbursement-0001791,523791.81,10/31/2019
Claim-0001126,Reimbursement-0001363,625364.54,5/2/2019
Claim-000533,Reimbursement-0001526,688055.39,5/15/2019
Claim-0003345,Reimbursement-0003365,539497.97,3/1/2019
Claim-0003612,Reimbursement-0002326,605668.28,9/11/2018
Claim-000566,Reimbursement-0001889,652666.56,8/25/2019
Claim-0002709,Reimbursement-000144,690894.17,3/19/2020
Claim-0003585,Reimbursement-0002444,554300.39,2/6/2020
Claim-0003596,Reimbursement-0002747,561293.24,2/9/2020
Claim-000648,Reimbursement-0001164,543527.11,7/21/2019
Claim-0002816,Reimbursement-0001821,455292.19,4/29/2020
Claim-000667,Reimbursement-00034,670168.94,2/6/2021
Claim-000815,Reimbursement-000975,521015.49,3/19/2020
Claim-000733,Reimbursement-0003107,588344.82,3/22/2020
Claim-0001347,Reimbursement-000719,573887.9,6/22/2021
Claim-0002109,Reimbursement-0002087,495665.66,10/12/2020
Claim-000750,Reimbursement-000803,670204.03,4/24/2019
Claim-0002199,Reimbursement-0003486,554567.99,9/25/2019
Claim-000946,Reimbursement-0001642,592084.94,12/15/2019
Claim-0001863,Reimbursement-000798,411278.84,1/24/2020
Claim-000964,Reimbursement-0002828,512968.5,4/1/2019
Claim-0003446,Reimbursement-0001749,497424,7/14/2019
Claim-000967,Reimbursement-0003645,527134.48,2/5/2021
Claim-0002943,Reimbursement-0001604,455000.29,11/11/2019
Claim-0003227,Reimbursement-000586,555433.28,10/18/2018
Claim-0003572,Reimbursement-000790,707886.12,5/28/2021
Claim-000987,Reimbursement-0002464,593438.4,11/6/2019
Claim-0001734,Reimbursement-0001843,566436.95,3/24/2020
Claim-0002977,Reimbursement-000286,701740.91,3/18/2021
Claim-000993,Reimbursement-0001577,637961.9,8/5/2019
Claim-0001038,Reimbursement-0003519,616198.44,4/5/2019
Claim-0001394,Reimbursement-0003647,686508.26,8/11/2019
Claim-0001936,Reimbursement-0002489,628522.41,9/9/2018
Claim-0002552,Reimbursement-0002766,639898.38,2/27/2019
Claim-0002553,Reimbursement-0002056,485848.77,7/21/2018
Claim-0001062,Reimbursement-0001708,718027.5,7/8/2019
Claim-0003432,Reimbursement-0001919,700797.15,4/18/2021
Claim-0001087,Reimbursement-000979,519865.92,2/28/2019
Claim-0001335,Reimbursement-0001487,700519.33,5/2/2019
Claim-0001366,Reimbursement-000688,678425.03,1/25/2019
Claim-0002612,Reimbursement-000937,467734.92,6/16/2018
Claim-0003275,Reimbursement-000851,687378.27,9/20/2018
Claim-0001108,Reimbursement-0002299,445870.05,7/6/2019
Claim-0002058,Reimbursement-000564,417254.87,1/3/2020
Claim-0002677,Reimbursement-0001436,611095.8,5/19/2019
Claim-0001144,Reimbursement-0001127,606732.92,1/19/2019
Claim-0001600,Reimbursement-000901,458023.87,4/3/2019
Claim-0001661,Reimbursement-0001203,517072.25,9/16/2018
Claim-0001178,Reimbursement-0003288,475739.78,12/14/2019
Claim-0002947,Reimbursement-000110,552943.17,9/4/2019
Claim-0001196,Reimbursement-000669,612190.13,4/8/2019
Claim-0001274,Reimbursement-0002684,667707.37,10/7/2019
Claim-0001566,Reimbursement-0003350,498563.93,11/7/2019
Claim-0001819,Reimbursement-0003054,510158.44,8/6/2019
Claim-0003619,Reimbursement-000218,614509.03,1/14/2020
Claim-0001212,Reimbursement-0003356,489465.22,6/15/2021
Claim-0001292,Reimbursement-0001943,476069.47,12/28/2018
Claim-0001293,Reimbursement-0001680,604830.95,4/21/2019
Claim-0002272,Reimbursement-0002225,520613.98,12/14/2018
Claim-0001364,Reimbursement-0003080,704807.01,4/22/2019
Claim-0002662,Reimbursement-000256,488713.3,4/18/2019
Claim-0001454,Reimbursement-0003025,578035.03,7/20/2019
Claim-0001605,Reimbursement-0002760,487232.59,9/3/2021
Claim-0002201,Reimbursement-000502,558102.79,8/20/2019
Claim-0003346,Reimbursement-0001065,567594.33,6/1/2019
Claim-0003627,Reimbursement-0003121,771978.91,4/4/2020
Claim-0001563,Reimbursement-0001810,462024.76,3/27/2020
Claim-0001676,Reimbursement-0002933,698960.54,3/14/2020
Claim-0001581,Reimbursement-0003326,547311,12/9/2018
Claim-0002883,Reimbursement-0002488,513742.59,6/23/2019
Claim-0001590,Reimbursement-0003297,482737.65,5/18/2020
Claim-0002712,Reimbursement-000849,439830.59,11/29/2019
Claim-0002772,Reimbursement-0003115,513290.67,3/7/2021
Claim-0003138,Reimbursement-00077,549422.93,4/23/2019
Claim-0001602,Reimbursement-0003058,463949.1,8/26/2019
Claim-0001624,Reimbursement-0003439,429253.78,3/4/2020
Claim-0002558,Reimbursement-000135,511957.75,7/30/2019
Claim-0002695,Reimbursement-0002575,548670.24,5/5/2019
Claim-0003308,Reimbursement-0003079,479683.03,7/20/2019
Claim-0001688,Reimbursement-0001597,516222,10/25/2018
Claim-0001923,Reimbursement-0002636,456166.82,7/17/2021
Claim-0002246,Reimbursement-0002512,503569.5,2/14/2022
Claim-0002599,Reimbursement-0001437,429444.07,5/8/2021
Claim-0002828,Reimbursement-0002603,583603.48,8/26/2021
Claim-0003026,Reimbursement-0001107,534186.53,1/14/2022
Claim-0001939,Reimbursement-0002360,654447.16,9/20/2018
Claim-0002049,Reimbursement-000347,521551.76,3/25/2019
Claim-0003046,Reimbursement-000875,703672.57,11/3/2019
Claim-0002013,Reimbursement-0003503,668003.03,3/1/2019
Claim-0002016,Reimbursement-0002842,464630.17,2/24/2019
Claim-0002589,Reimbursement-0001245,668435.19,9/28/2018
Claim-0002902,Reimbursement-0003440,559195.58,11/1/2020
Claim-0003098,Reimbursement-000755,645671.97,10/9/2021
Claim-0002966,Reimbursement-0003046,481192.65,6/6/2020
Claim-0003190,Reimbursement-0003086,628003.58,4/27/2021
Claim-0003152,Reimbursement-0001433,505462.99,10/24/2019
Claim-0003450,Reimbursement-000197,465765.85,12/15/2018
Claim-0002,Reimbursement-000536,294198.16,7/28/2019
Claim-000357,Reimbursement-0002649,285673.9,11/24/2018
Claim-000680,Reimbursement-0003309,343045.87,2/7/2019
Claim-0001214,Reimbursement-0002681,368915.15,2/23/2019
Claim-0001464,Reimbursement-0001667,384851.81,7/3/2019
Claim-0002009,Reimbursement-0001252,382924.58,6/24/2019
Claim-0006,Reimbursement-0003589,502461.89,3/22/2020
Claim-0001983,Reimbursement-00026,398224.8,1/17/2021
Claim-0002229,Reimbursement-000103,279456,5/6/2021
Claim-0002891,Reimbursement-0001724,476938.24,2/9/2021
Claim-0003209,Reimbursement-0002182,410614.02,4/2/2019
Claim-0007,Reimbursement-000829,322874.15,2/10/2020
Claim-0001787,Reimbursement-0003437,407444.58,10/28/2019
Claim-0009,Reimbursement-000626,281071.39,1/27/2020
Claim-00086,Reimbursement-0002358,357175.44,3/24/2021
Claim-00019,Reimbursement-0003361,363171.82,4/30/2019
Claim-000326,Reimbursement-000598,352094.68,10/6/2019
Claim-000848,Reimbursement-000151,272181.06,6/3/2019
Claim-000892,Reimbursement-0001200,352094.68,7/25/2019
Claim-0001387,Reimbursement-0002880,325034.82,11/13/2019
Claim-0002671,Reimbursement-0001236,299399.16,6/13/2019
Claim-00024,Reimbursement-0003497,312275.04,1/8/2019
Claim-000247,Reimbursement-0002359,363883.52,9/6/2019
Claim-000804,Reimbursement-0002353,438791.36,8/30/2019
Claim-000862,Reimbursement-0001076,290645.6,9/8/2019
Claim-0001188,Reimbursement-0001962,426863.36,7/4/2019
Claim-0002768,Reimbursement-000575,292633.6,6/29/2019
Claim-0002811,Reimbursement-0001630,339073.28,6/24/2019
Claim-00049,Reimbursement-000712,307559.05,10/11/2018
Claim-000573,Reimbursement-0001879,317398.4,6/6/2019
Claim-0001722,Reimbursement-0002862,310733.03,6/17/2019
Claim-0001745,Reimbursement-0002446,403413.37,2/24/2019
Claim-00084,Reimbursement-0001908,409717.48,5/27/2020
Claim-0002865,Reimbursement-00042,334773.63,2/23/2020
Claim-0003437,Reimbursement-000160,289514.14,5/9/2021
Claim-000109,Reimbursement-0003571,413742.56,12/26/2018
Claim-000410,Reimbursement-0003434,275536.8,1/15/2020
Claim-0001098,Reimbursement-0003001,329944.38,4/6/2021
Claim-0001916,Reimbursement-0001081,286908.16,1/2/2020
Claim-000179,Reimbursement-0002615,278650.8,4/13/2019
Claim-0001051,Reimbursement-0003445,297649.72,3/22/2019
Claim-0002460,Reimbursement-000508,339759.88,3/15/2019
Claim-000207,Reimbursement-0002956,421294.46,11/13/2018
Claim-0001253,Reimbursement-000541,272388.66,10/22/2018
Claim-0002041,Reimbursement-0003341,466059.11,2/11/2019
Claim-000213,Reimbursement-0001183,352941.57,8/16/2021
Claim-000872,Reimbursement-0003123,261633.69,9/9/2019
Claim-0001409,Reimbursement-0003016,408482.6,1/10/2020
Claim-0001560,Reimbursement-000478,438655.95,5/14/2020
Claim-0002372,Reimbursement-0002569,413445.84,10/25/2020
Claim-0003425,Reimbursement-0003514,348214.67,10/23/2021
Claim-000336,Reimbursement-0002295,316001.35,9/19/2019
Claim-0002210,Reimbursement-0001110,374672.11,8/11/2019
Claim-000338,Reimbursement-0003340,453204.02,7/23/2019
Claim-000965,Reimbursement-0003171,364646.91,4/22/2019
Claim-0001025,Reimbursement-000841,304496.45,2/2/2019
Claim-0001114,Reimbursement-000971,336484.45,7/18/2019
Claim-000374,Reimbursement-0002518,360114.16,5/17/2019
Claim-0003088,Reimbursement-0003242,375150.08,1/14/2020
Claim-0003256,Reimbursement-0002602,359066.88,4/12/2020
Claim-0003330,Reimbursement-0002121,312911.82,3/10/2019
Claim-000406,Reimbursement-0002968,326970.34,3/28/2020
Claim-0001133,Reimbursement-0001502,404820.42,7/6/2019
Claim-000414,Reimbursement-000518,283536.06,12/15/2019
Claim-000700,Reimbursement-000259,318579.84,9/17/2019
Claim-0001555,Reimbursement-0003441,289519.14,4/13/2019
Claim-0003439,Reimbursement-0002441,390221.45,6/5/2019
Claim-000523,Reimbursement-0001927,448480.87,7/21/2021
Claim-000936,Reimbursement-0001501,310394.39,4/13/2020
Claim-0001061,Reimbursement-000678,298472.64,3/18/2020
Claim-0001594,Reimbursement-0003385,347360.4,2/6/2021
Claim-0002787,Reimbursement-0001801,303790.26,11/1/2018
Claim-0002794,Reimbursement-0001839,320343.48,5/14/2020
Claim-0002929,Reimbursement-0001386,378065.34,12/17/2019
Claim-000565,Reimbursement-0002925,462105.49,9/5/2020
Claim-0002580,Reimbursement-000605,474296.47,3/31/2021
Claim-000584,Reimbursement-0002847,458264.22,2/17/2019
Claim-0001257,Reimbursement-0002022,293469.7,2/20/2019
Claim-000587,Reimbursement-0002534,332813.47,4/14/2019
Claim-0001664,Reimbursement-0002450,369157.29,8/18/2019
Claim-0001691,Reimbursement-000381,462599.65,1/26/2019
Claim-0002283,Reimbursement-000517,409283.08,11/14/2018
Claim-0002774,Reimbursement-0003065,381333.39,3/30/2019
Claim-000633,Reimbursement-000779,396083.21,5/19/2019
Claim-0002174,Reimbursement-0003211,344753.28,7/18/2019
Claim-0002309,Reimbursement-0003307,449903.03,7/26/2019
Claim-000748,Reimbursement-00049,420444.51,10/2/2019
Claim-000884,Reimbursement-0003213,418000.06,5/12/2021
Claim-0001003,Reimbursement-0001909,337164.8,3/17/2020
Claim-0002705,Reimbursement-0001345,283218.43,10/1/2019
Claim-0002836,Reimbursement-0002154,300076.67,9/17/2019
Claim-000756,Reimbursement-000161,375498.55,3/11/2021
Claim-0002116,Reimbursement-0003629,370684.47,1/24/2021
Claim-000777,Reimbursement-0003553,286999.04,6/20/2021
Claim-0001479,Reimbursement-0002774,295967.76,4/27/2019
Claim-0003474,Reimbursement-000593,322873.92,8/11/2021
Claim-000874,Reimbursement-0001199,379796.55,6/17/2019
Claim-0002798,Reimbursement-000735,298307.64,10/27/2020
Claim-0002846,Reimbursement-0003543,333830.64,7/24/2021
Claim-0003472,Reimbursement-0002159,320220.62,11/1/2021
Claim-0003605,Reimbursement-000203,298307.64,12/6/2019
Claim-000909,Reimbursement-0001710,347922.72,10/9/2021
Claim-0001870,Reimbursement-0003600,440588.97,12/13/2019
Claim-0002689,Reimbursement-0003591,438043.19,2/18/2020
Claim-000914,Reimbursement-000215,384252,12/2/2020
Claim-000945,Reimbursement-000986,417346.41,6/17/2018
Claim-0001260,Reimbursement-0002051,304879.68,12/1/2018
Claim-0001268,Reimbursement-000467,422427.73,1/14/2019
Claim-0001303,Reimbursement-0001147,325204.99,6/13/2018
Claim-0001752,Reimbursement-000121,406506.24,9/13/2018
Claim-0003290,Reimbursement-000819,291668.23,1/6/2019
Claim-000950,Reimbursement-000387,353500.59,5/25/2019
Claim-0002413,Reimbursement-0002876,320156.04,8/6/2019
Claim-0002930,Reimbursement-0002190,343352.25,2/7/2020
Claim-0001021,Reimbursement-0002143,391528.08,1/21/2019
Claim-0001060,Reimbursement-0002227,451949.08,6/18/2018
Claim-0001327,Reimbursement-000272,369776.52,12/8/2018
Claim-0002138,Reimbursement-0002533,349185.04,11/3/2018
Claim-0003550,Reimbursement-0002132,417629.95,1/25/2019
Claim-0003653,Reimbursement-000155,305198.56,4/26/2019
Claim-0001030,Reimbursement-000862,469829.61,7/29/2020
Claim-0001548,Reimbursement-000266,454914.38,10/8/2020
Claim-0002083,Reimbursement-0001209,352965.42,3/21/2020
Claim-0001040,Reimbursement-0002020,347176.37,5/8/2019
Claim-0001427,Reimbursement-0003003,343669.54,3/7/2020
Claim-0001918,Reimbursement-0002609,380741.76,8/12/2019
Claim-0002080,Reimbursement-0001426,434847.17,6/5/2019
Claim-0001066,Reimbursement-0003448,242317.32,3/10/2019
Claim-0002663,Reimbursement-0001182,358385.28,6/1/2019
Claim-0001089,Reimbursement-0002341,379979.16,7/9/2019
Claim-0001326,Reimbursement-0001881,298932.38,3/14/2020
Claim-0001331,Reimbursement-000284,318325.72,7/15/2019
Claim-0001606,Reimbursement-0002391,351685.15,10/18/2019
Claim-0001736,Reimbursement-0002735,265283.49,6/15/2019
Claim-0002212,Reimbursement-0002710,238798.56,10/8/2019
Claim-0001113,Reimbursement-000137,374979.97,3/17/2021
Claim-0002114,Reimbursement-0001412,368781.95,7/12/2019
Claim-0002121,Reimbursement-0002002,350497.8,2/25/2021
Claim-0002804,Reimbursement-000812,332368.61,3/9/2020
Claim-0001146,Reimbursement-0002902,258412.96,4/18/2019
Claim-0001732,Reimbursement-0002551,332245.24,10/14/2019
Claim-0002916,Reimbursement-000446,379891.07,6/20/2019
Claim-0001197,Reimbursement-0001056,296635.05,2/8/2022
Claim-0002297,Reimbursement-000335,256826.88,6/27/2021
Claim-0002715,Reimbursement-0002370,267099.96,12/29/2019
Claim-0002752,Reimbursement-000305,369830.71,1/19/2021
Claim-0003454,Reimbursement-0002231,351710.14,11/3/2019
Claim-0001211,Reimbursement-0002465,300961.33,12/3/2018
Claim-0002520,Reimbursement-0003376,373680.38,9/18/2018
Claim-0003507,Reimbursement-0001560,368524.08,12/26/2018
Claim-0001233,Reimbursement-000269,470889.27,4/9/2021
Claim-0001769,Reimbursement-0003094,381259.78,1/17/2021
Claim-0001246,Reimbursement-000830,321668.34,6/13/2019
Claim-0001851,Reimbursement-0003328,311952.64,6/12/2019
Claim-0002757,Reimbursement-0001938,346263.93,5/5/2019
Claim-0001273,Reimbursement-0003523,362502.94,12/2/2020
Claim-0001519,Reimbursement-000494,233650.83,4/2/2019
Claim-0002398,Reimbursement-0001649,307883.26,9/8/2020
Claim-0001277,Reimbursement-0001993,329725.14,5/4/2019
Claim-0003541,Reimbursement-0002827,380452.08,12/3/2019
Claim-0001281,Reimbursement-00013,371781.45,7/20/2019
Claim-0001578,Reimbursement-000500,434974.46,6/15/2019
Claim-0001625,Reimbursement-0001800,378420.4,2/2/2019
Claim-0002426,Reimbursement-0001728,444973.87,12/31/2019
Claim-0001381,Reimbursement-000172,360334.66,7/1/2019
Claim-0002394,Reimbursement-0002325,324632.45,9/6/2019
Claim-0002451,Reimbursement-0003429,390147.84,9/21/2019
Claim-0003500,Reimbursement-0002585,427874.4,8/16/2019
Claim-0001391,Reimbursement-0003205,326052.22,9/20/2020
Claim-0001759,Reimbursement-0003289,390993.48,9/12/2018
Claim-0001915,Reimbursement-0001498,393685.34,10/8/2020
Claim-0001575,Reimbursement-0001233,419798.8,2/14/2019
Claim-0002722,Reimbursement-0001874,271421.64,8/12/2019
Claim-0002892,Reimbursement-00027,423934.75,6/6/2019
Claim-0003181,Reimbursement-0002572,362929.51,7/18/2021
Claim-0001608,Reimbursement-0002248,416575.74,3/23/2019
Claim-0001820,Reimbursement-000429,363292.8,11/13/2018
Claim-0002171,Reimbursement-000529,328453.95,2/1/2019
Claim-0001668,Reimbursement-000443,414842.21,1/6/2020
Claim-0001700,Reimbursement-0003465,505105.47,11/18/2018
Claim-0001702,Reimbursement-0002494,463703.39,1/6/2019
Claim-0002975,Reimbursement-000667,506128.9,8/22/2019
Claim-0001737,Reimbursement-000577,408056.88,7/10/2019
Claim-0002601,Reimbursement-000316,314433.44,5/29/2020
Claim-0001847,Reimbursement-0003216,418296.78,3/3/2020
Claim-0001861,Reimbursement-0002229,399001.82,3/10/2020
Claim-0003077,Reimbursement-0001587,361847.81,4/5/2019
Claim-0002012,Reimbursement-000922,291752.06,5/28/2019
Claim-0003238,Reimbursement-00072,397779.03,7/7/2019
Claim-0003451,Reimbursement-0003023,335514.87,3/4/2019
Claim-0002026,Reimbursement-0001845,353769.31,5/12/2019
Claim-0003286,Reimbursement-0001124,362044.62,1/28/2021
Claim-0002089,Reimbursement-0001973,447239.17,9/3/2021
Claim-0002107,Reimbursement-0001678,348774.72,1/12/2019
Claim-0002479,Reimbursement-000747,320386.08,10/27/2018
Claim-0002921,Reimbursement-0002452,340470.56,6/21/2019
Claim-0003050,Reimbursement-0003595,506553.76,5/16/2019
Claim-0003051,Reimbursement-0002581,369052.32,9/21/2018
Claim-0002691,Reimbursement-000572,353464.64,3/18/2019
Claim-0002727,Reimbursement-0003511,332205.36,11/10/2019
Claim-0002999,Reimbursement-0002333,408910.07,9/13/2019
Claim-0003216,Reimbursement-000345,307753.31,12/20/2018
Claim-0002826,Reimbursement-0003367,286190.89,10/8/2019
Claim-0002906,Reimbursement-000445,322432.24,3/29/2021
Claim-0003300,Reimbursement-0001571,337871.85,2/26/2020
Claim-0003449,Reimbursement-000915,292156.48,8/29/2019
Claim-0003520,Reimbursement-0001535,377678.65,11/22/2018
Claim-0003569,Reimbursement-0002478,290512.01,8/22/2019
Claim-0003,Reimbursement-0003137,1012531.52,11/1/2021
Claim-0008,Reimbursement-00048,1271844.79,5/24/2019
Claim-000251,Reimbursement-0001395,1150957.68,6/1/2019
Claim-000459,Reimbursement-000464,1418596.11,4/19/2019
Claim-0003257,Reimbursement-0001358,927738.24,4/24/2019
Claim-00023,Reimbursement-0001059,941351.21,7/17/2019
Claim-00096,Reimbursement-0001251,813758.42,9/1/2019
Claim-0001297,Reimbursement-0003444,1305055.08,5/30/2019
Claim-0002833,Reimbursement-0002663,803190.13,4/24/2019
Claim-0003139,Reimbursement-000916,930009.63,1/18/2019
Claim-0003631,Reimbursement-000442,1202207.57,7/12/2019
Claim-00036,Reimbursement-000652,1228301.82,7/16/2019
Claim-00090,Reimbursement-000483,877640.1,3/26/2019
Claim-000658,Reimbursement-0003613,1230273.41,4/7/2020
Claim-0001639,Reimbursement-0001090,993119.06,5/4/2020
Claim-00054,Reimbursement-0001833,1089005.92,5/26/2021
Claim-000741,Reimbursement-0002500,956200.32,3/25/2020
Claim-0002750,Reimbursement-000677,1243060.42,1/8/2019
Claim-000114,Reimbursement-0001768,1160851.05,3/6/2019
Claim-000230,Reimbursement-0001606,960657.98,2/21/2019
Claim-000503,Reimbursement-000225,844662.45,7/28/2018
Claim-0001482,Reimbursement-0002110,916767.78,1/5/2019
Claim-0001534,Reimbursement-0001965,1070159.56,5/18/2019
Claim-0001929,Reimbursement-0001664,894598.75,9/3/2018
Claim-0002324,Reimbursement-000201,1056947.71,10/11/2018
Claim-0002410,Reimbursement-0002541,954611.88,10/26/2018
Claim-0002593,Reimbursement-000802,855858.93,1/16/2019
Claim-0002788,Reimbursement-000867,846453.89,9/11/2018
Claim-000121,Reimbursement-0001360,1122598.85,4/28/2019
Claim-000615,Reimbursement-0003552,890669.52,4/28/2019
Claim-000798,Reimbursement-0002137,829261.54,9/16/2018
Claim-0003373,Reimbursement-0001130,863264.3,6/9/2019
Claim-000171,Reimbursement-0002438,982623.66,1/5/2019
Claim-0001311,Reimbursement-0002147,1210310.89,12/16/2018
Claim-0001315,Reimbursement-0003314,1266604.42,4/16/2019
Claim-0001432,Reimbursement-0001419,1136928.25,10/2/2019
